"age_months","condition","vocab_score"
17.5800585450412,"monolingual",23.9908642734003
24.020524689318,"monolingual",33.326724148821
31.1045628317547,"monolingual",46.7993191480555
31.8727565315735,"monolingual",57.0362087608559
29.9814284879725,"monolingual",53.3545669378645
31.2426165344999,"monolingual",54.2330456394868
25.808535555805,"bilingual",44.3087834960538
27.4813220161254,"bilingual",39.4555630993784
22.6490457966251,"monolingual",53.0933834343646
30.895268022765,"monolingual",46.7460713598514
33.4148126042803,"bilingual",56.3283295237907
39.9432690881122,"monolingual",65.1646986610538
23.1023887178052,"monolingual",55.0705466228183
32.988900841011,"monolingual",76.834390159472
20.9556343927652,"bilingual",25.5602355080837
26.2239778260425,"bilingual",44.3661389347884
32.7231404969562,"bilingual",56.4241182746225
35.1341481089492,"monolingual",58.9702188569691
33.831577777358,"bilingual",51.5366713859545
28.8749775082787,"monolingual",58.545224326101
22.1096704565235,"monolingual",42.3686888009008
32.1245226917569,"bilingual",54.6752585590452
26.7568346171221,"bilingual",52.1924373591426
27.5370627666309,"bilingual",34.9272419915658
23.9634990799873,"monolingual",41.442853520681
38.8823580859274,"bilingual",59.1717976059598
35.5024855560929,"bilingual",72.5761509975742
26.9515743280351,"bilingual",52.9168400204352
36.6370750596572,"bilingual",43.9875027500314
29.1302499519853,"monolingual",58.0348152943292
34.935699806026,"bilingual",71.2653030613496
21.5484394345197,"bilingual",48.5950198921298
40.2758391169918,"monolingual",65.7561117196736
34.5740236010834,"monolingual",78.2348248907583
24.0853016598212,"monolingual",40.5374838628384
29.9540058618221,"bilingual",51.3059824604935
37.2680096203747,"bilingual",44.8935139051677
28.8304872715599,"monolingual",57.9970836221592
34.5190001984329,"monolingual",78.2777465325335
34.4831227561367,"bilingual",51.4692471132771
26.200428257398,"monolingual",53.886318191066
23.8365786829767,"monolingual",33.4030299777685
35.6174222266134,"monolingual",63.5755578952079
32.762841106329,"monolingual",53.3713413242358
28.7790525901659,"monolingual",58.383597702961
26.9719257331141,"monolingual",44.1055829381857
23.9760384366444,"monolingual",33.7888306768267
33.6416605069649,"monolingual",58.3847632490305
29.917269422592,"bilingual",51.5470036615216
27.2696752327927,"bilingual",53.6804318665477
37.3092095639138,"monolingual",54.191614952304
29.0417198329288,"monolingual",57.2632313842539
17.8637017020902,"monolingual",23.9789022172263
27.2707113576149,"bilingual",36.6905232029272
34.8730977769563,"monolingual",63.8097788225307
31.7959675433123,"monolingual",54.9205284084706
23.8912235469869,"monolingual",33.2111423713799
21.2623058019383,"bilingual",25.8875055286864
35.0087721903367,"bilingual",53.9646956902852
29.9679564346002,"bilingual",44.4534282752475
